transaction_id,customer_id,amount,payment_method,transaction_status,failure_reason,retry_count,previous_success_rate,customer_value,checkout_duration,days_overdue,revenue_at_risk,recovered
TX00088,CUST1486,8467.89,UPI,Success,Bank_Decline,0,0.88,Low,80.1,12,0.0,1
TX00089,CUST1276,5898.69,NetBanking,Failed,Bank_Decline,2,0.54,Medium,174.9,22,5898.69,0
TX00090,CUST1017,633.57,Wallet,Success,Insufficient_Funds,1,0.73,High,414.7,28,0.0,1
TX00091,CUST0296,7947.46,UPI,Success,Network_Error,2,0.25,Low,55.9,19,0.0,1
TX00092,CUST0720,10522.19,NetBanking,Success,Insufficient_Funds,2,0.62,Low,400.8,16,0.0,1
TX00093,CUST0338,31602.93,Wallet,Success,Network_Error,0,0.24,Low,541.5,16,0.0,1
TX00094,CUST0879,11141.4,UPI,Success,Authentication_Failed,1,0.22,Low,581.9,23,0.0,1
TX00095,CUST1077,1221.94,UPI,Success,Insufficient_Funds,3,0.69,Low,137.8,9,0.0,1
TX00096,CUST0792,41365.59,Card,Success,Timeout,2,0.44,Medium,451.8,6,0.0,1
TX00097,CUST0217,18406.67,Card,Failed,Network_Error,2,0.79,Low,556.6,19,18406.67,0
TX00098,CUST0764,17814.09,Wallet,Success,Insufficient_Funds,3,0.92,Low,63.9,16,0.0,1
TX00099,CUST0188,15263.46,Wallet,Success,Timeout,1,0.31,Medium,254.3,21,0.0,1
TX00100,CUST0380,48773.59,Wallet,Overdue,Bank_Decline,0,0.78,Medium,552.5,26,48773.59,0
TX00101,CUST0493,8671.75,UPI,Subscription_Failed,None,2,0.61,Low,129.6,11,8671.75,0
TX00102,CUST1065,44932.26,Wallet,Success,Authentication_Failed,0,0.29,Medium,560.9,10,0.0,1
TX00103,CUST1181,38884.81,UPI,Success,Authentication_Failed,1,0.72,Medium,321.0,9,0.0,1
TX00104,CUST0015,4008.7,Wallet,Overdue,Bank_Decline,3,0.69,Medium,68.9,22,4008.7,0
TX00105,CUST0065,49339.11,UPI,Success,Insufficient_Funds,0,0.61,Low,275.4,21,0.0,1
TX00106,CUST0521,13714.02,UPI,Success,None,1,0.94,Low,202.5,27,0.0,1
TX00107,CUST1368,5109.43,Card,Success,Bank_Decline,0,0.62,Medium,176.5,21,0.0,1
TX00108,CUST1153,41499.85,NetBanking,Abandoned,Timeout,0,0.99,Medium,329.5,7,41499.85,0
TX00109,CUST0648,35392.44,UPI,Success,None,2,0.61,Medium,295.3,29,0.0,1
TX00110,CUST1496,30937.5,Wallet,Abandoned,Network_Error,0,0.29,Low,294.4,14,30937.5,0
TX00111,CUST1087,7967.85,Card,Abandoned,Insufficient_Funds,2,0.58,Medium,62.0,21,7967.85,0
TX00112,CUST1163,24029.11,Wallet,Success,None,1,0.35,Medium,483.4,17,0.0,1
TX00113,CUST0593,39071.69,Wallet,Subscription_Failed,Network_Error,1,0.68,Low,294.0,22,39071.69,1
TX00114,CUST0392,15320.47,UPI,Success,Bank_Decline,2,0.75,Low,494.3,12,0.0,1
TX00115,CUST0419,15722.15,UPI,Failed,Authentication_Failed,3,0.57,Medium,496.5,25,15722.15,0
TX00116,CUST0289,356.42,NetBanking,Success,None,0,0.28,Medium,197.1,15,0.0,1
TX00117,CUST0379,8877.32,UPI,Success,None,1,0.57,Low,12.6,29,0.0,1
TX00118,CUST0231,43795.2,UPI,Success,Network_Error,1,0.27,Medium,547.6,12,0.0,1
TX00119,CUST1018,22198.98,NetBanking,Success,Network_Error,3,0.75,Medium,458.8,3,0.0,1
TX00120,CUST0041,49214.88,Wallet,Success,Authentication_Failed,1,0.83,Medium,73.3,10,0.0,1
TX00121,CUST1052,19906.26,NetBanking,Success,Network_Error,2,0.97,Medium,424.0,26,0.0,1
TX00122,CUST0135,35816.29,NetBanking,Success,Network_Error,3,0.32,Medium,21.8,18,0.0,1
TX00123,CUST0201,14239.57,NetBanking,Failed,None,1,0.63,Low,26.4,7,14239.57,0
TX00124,CUST0780,18317.72,Card,Success,Authentication_Failed,3,0.65,Low,320.2,9,0.0,1
TX00125,CUST0930,9698.15,Wallet,Failed,Authentication_Failed,3,0.94,Medium,66.7,11,9698.15,0
TX00126,CUST1057,17483.71,Card,Success,None,1,0.7,Low,579.0,27,0.0,1
TX00127,CUST1072,27452.43,Card,Success,Bank_Decline,1,0.32,Medium,537.4,20,0.0,1
TX00128,CUST0503,49590.29,UPI,Success,Bank_Decline,1,0.55,Medium,393.4,19,0.0,1
TX00129,CUST0407,33277.25,NetBanking,Success,None,3,0.72,Low,47.6,10,0.0,1
TX00130,CUST0805,10122.45,NetBanking,Failed,Network_Error,2,0.76,Medium,201.7,19,10122.45,0
TX00131,CUST0099,2439.08,Card,Success,Insufficient_Funds,2,0.89,Medium,229.3,20,0.0,1
TX00132,CUST0684,6492.55,UPI,Overdue,Bank_Decline,0,0.34,Low,293.7,27,6492.55,0
TX00133,CUST0726,28215.25,UPI,Overdue,Bank_Decline,1,0.96,Low,109.7,3,28215.25,1
TX00134,CUST0961,38304.98,UPI,Success,None,2,0.25,High,350.7,18,0.0,1
TX00135,CUST0613,47032.88,Wallet,Abandoned,None,0,0.99,Low,267.1,19,47032.88,1
TX00136,CUST1486,987.99,Card,Success,Insufficient_Funds,0,0.89,Medium,568.9,9,0.0,1
TX00137,CUST0643,26233.46,Wallet,Success,Insufficient_Funds,1,0.73,Low,562.4,14,0.0,1
TX00138,CUST1029,23649.19,UPI,Abandoned,Authentication_Failed,0,0.79,Low,343.6,12,23649.19,0
TX00139,CUST1242,32871.54,UPI,Success,None,2,0.26,Low,390.2,12,0.0,1
TX00140,CUST0503,28067.03,UPI,Success,Bank_Decline,0,0.23,Medium,91.3,20,0.0,1
TX00141,CUST0767,34414.55,NetBanking,Success,Timeout,0,0.28,Low,141.8,27,0.0,1
TX00142,CUST0398,32972.51,Card,Success,Timeout,2,0.27,Low,541.4,17,0.0,1
TX00143,CUST0871,6027.18,NetBanking,Success,Network_Error,0,0.64,Medium,422.5,6,0.0,1
TX00144,CUST0795,40025.95,Wallet,Success,Bank_Decline,0,0.37,Low,121.8,29,0.0,1
TX00145,CUST0393,6336.98,NetBanking,Success,Timeout,3,0.89,Low,346.4,13,0.0,1
TX00146,CUST0207,34986.83,Card,Success,Bank_Decline,0,0.56,Low,561.5,4,0.0,1
TX00147,CUST1039,20924.04,NetBanking,Abandoned,None,0,0.76,Low,213.7,8,20924.04,0
TX00148,CUST0892,25789.77,UPI,Success,Bank_Decline,3,0.72,Medium,119.6,29,0.0,1
TX00149,CUST1485,45184.24,Wallet,Abandoned,Timeout,3,0.46,Low,565.8,21,45184.24,0
TX00150,CUST0864,44516.21,Wallet,Failed,Bank_Decline,3,0.39,Low,282.1,26,44516.21,0
TX00151,CUST0743,40929.24,UPI,Abandoned,Insufficient_Funds,1,0.47,High,256.2,16,40929.24,0
TX00152,CUST1265,25605.39,UPI,Abandoned,Network_Error,1,0.84,High,167.9,24,25605.39,0
TX00153,CUST0564,36864.74,UPI,Success,Authentication_Failed,2,0.67,Medium,536.0,4,0.0,1
TX00154,CUST1021,25742.27,Card,Success,Timeout,0,0.4,High,508.9,30,0.0,1
TX00155,CUST0096,43506.38,NetBanking,Success,None,2,0.85,Medium,247.8,15,0.0,1
TX00156,CUST0485,20258.24,Wallet,Overdue,Authentication_Failed,1,0.24,Medium,28.1,30,20258.24,0
TX00157,CUST1431,48517.72,NetBanking,Failed,Network_Error,0,0.76,Medium,273.5,8,48517.72,1
TX00158,CUST0231,46629.67,UPI,Success,Insufficient_Funds,0,0.55,Medium,116.7,16,0.0,1
TX00159,CUST0749,37131.81,UPI,Success,Insufficient_Funds,3,0.79,Medium,94.2,29,0.0,1
TX00160,CUST1195,14114.91,NetBanking,Overdue,Insufficient_Funds,1,0.94,Low,241.9,17,14114.91,0
TX00161,CUST0541,6756.35,Wallet,Success,Insufficient_Funds,0,0.8,Medium,68.5,2,0.0,1
TX00162,CUST1060,42764.23,Card,Success,Timeout,3,0.55,Medium,574.9,27,0.0,1
TX00163,CUST0525,8432.05,NetBanking,Success,Timeout,0,0.32,Medium,38.0,4,0.0,1
TX00164,CUST1184,42742.19,UPI,Overdue,Bank_Decline,1,0.85,Low,246.8,29,42742.19,0
TX00165,CUST1267,24640.1,UPI,Success,None,2,0.57,Low,106.0,21,0.0,1
TX00166,CUST1110,20446.53,Card,Success,Bank_Decline,2,0.26,Low,416.4,20,0.0,1
TX00167,CUST0578,45178.9,NetBanking,Failed,None,0,0.78,Medium,56.5,16,45178.9,1
TX00168,CUST0682,30271.78,Card,Success,Network_Error,3,0.43,Low,332.6,19,0.0,1
TX00169,CUST0557,28915.38,Card,Subscription_Failed,Bank_Decline,3,0.24,Low,466.1,21,28915.38,1
TX00170,CUST1013,28026.54,Wallet,Success,Network_Error,3,0.92,Low,570.5,3,0.0,1
TX00171,CUST0646,18684.24,Wallet,Success,Network_Error,1,0.59,Low,422.1,3,0.0,1
TX00172,CUST0796,39325.03,UPI,Subscription_Failed,Network_Error,2,0.42,Medium,68.7,20,39325.03,0
TX00173,CUST1052,12789.36,NetBanking,Overdue,Insufficient_Funds,2,0.77,High,62.2,23,12789.36,0
TX00174,CUST1364,46956.97,Wallet,Success,Authentication_Failed,0,0.91,Low,441.6,20,0.0,1
TX00175,CUST1355,44720.46,UPI,Success,Authentication_Failed,2,0.2,Medium,137.0,6,0.0,1
TX00176,CUST1372,17006.52,NetBanking,Abandoned,Timeout,3,0.75,Low,273.9,7,17006.52,0
TX00177,CUST1497,36527.3,UPI,Success,Network_Error,1,0.81,Low,586.2,21,0.0,1
TX00178,CUST1255,28746.52,Wallet,Overdue,Insufficient_Funds,3,0.37,Medium,493.7,21,28746.52,0
TX00179,CUST0190,17014.94,UPI,Overdue,Bank_Decline,3,0.59,Medium,509.5,30,17014.94,0
TX00180,CUST1249,49428.38,NetBanking,Success,Bank_Decline,2,0.27,Medium,517.9,30,0.0,1
TX00181,CUST1409,1456.82,NetBanking,Overdue,Timeout,1,0.8,Low,375.5,29,1456.82,0
TX00182,CUST1401,12781.77,UPI,Success,Timeout,1,0.88,High,448.9,1,0.0,1
TX00183,CUST1307,26099.69,NetBanking,Failed,Network_Error,3,0.29,Low,221.8,28,26099.69,0
TX00184,CUST0633,26193.26,UPI,Success,Network_Error,0,0.85,Low,599.1,28,0.0,1
TX00185,CUST0628,29528.87,NetBanking,Subscription_Failed,Bank_Decline,2,0.82,Low,175.0,9,29528.87,0
TX00186,CUST0973,37633.47,UPI,Failed,Bank_Decline,0,0.48,Medium,358.1,4,37633.47,0
TX00187,CUST1283,31249.2,UPI,Failed,Bank_Decline,3,0.75,Low,176.4,16,31249.2,0
TX00188,CUST1383,30094.02,UPI,Subscription_Failed,Bank_Decline,2,0.2,Low,76.1,24,30094.02,0
TX00189,CUST0710,2865.02,Card,Success,Authentication_Failed,0,0.95,Medium,344.9,6,0.0,1
TX00190,CUST1480,18951.21,NetBanking,Success,Network_Error,0,0.64,Low,218.5,1,0.0,1
TX00191,CUST1435,11756.38,Wallet,Subscription_Failed,Network_Error,0,0.7,Low,354.1,5,11756.38,0
TX00192,CUST0649,13415.43,UPI,Abandoned,Bank_Decline,2,0.73,Low,339.6,9,13415.43,0
TX00193,CUST0318,27806.01,Card,Overdue,Insufficient_Funds,0,0.65,Low,329.9,8,27806.01,0
TX00194,CUST1249,10135.36,Wallet,Overdue,Bank_Decline,1,0.89,Medium,82.7,27,10135.36,0
TX00195,CUST1258,14838.67,UPI,Success,None,3,0.69,Medium,269.7,4,0.0,1
TX00196,CUST0684,12006.82,Wallet,Success,Timeout,2,0.93,Low,489.1,2,0.0,1
TX00197,CUST0664,47435.45,Card,Success,None,1,0.67,Low,195.9,10,0.0,1
TX00198,CUST1398,47244.35,Wallet,Failed,Insufficient_Funds,0,0.34,Medium,271.9,9,47244.35,1
TX00199,CUST1496,30575.09,UPI,Success,Timeout,3,0.93,Medium,301.4,15,0.0,1
TX00200,CUST1257,46241.22,Wallet,Abandoned,Insufficient_Funds,0,0.75,Medium,519.0,26,46241.22,1
TX00201,CUST1137,39333.47,Wallet,Success,Timeout,1,0.76,Low,396.8,19,0.0,1
TX00202,CUST0442,29579.4,UPI,Success,Bank_Decline,0,0.99,Low,69.1,18,0.0,1
TX00203,CUST0564,520.47,Card,Success,Bank_Decline,2,0.26,High,520.5,0,0.0,1
TX00204,CUST1292,38671.31,Card,Success,Insufficient_Funds,1,0.54,Medium,500.9,25,0.0,1
TX00205,CUST1410,35183.92,Wallet,Failed,Timeout,2,0.39,Low,454.7,29,35183.92,0
TX00206,CUST1411,30839.63,NetBanking,Success,Authentication_Failed,3,0.7,Low,285.0,10,0.0,1
TX00207,CUST1137,38069.13,Wallet,Success,Insufficient_Funds,2,0.85,Low,457.0,28,0.0,1
TX00208,CUST0952,25743.52,NetBanking,Success,Insufficient_Funds,2,0.97,Low,292.5,14,0.0,1
TX00209,CUST1105,35263.35,Wallet,Abandoned,None,0,0.56,High,444.6,6,35263.35,0
TX00210,CUST0699,46771.57,Card,Abandoned,Network_Error,0,0.83,High,529.3,7,46771.57,1
TX00211,CUST0113,18915.09,Wallet,Success,Insufficient_Funds,1,0.93,Low,535.4,15,0.0,1
TX00212,CUST0002,35464.47,Wallet,Abandoned,Authentication_Failed,3,0.75,Low,278.2,17,35464.47,0
TX00213,CUST0642,23889.25,NetBanking,Success,Bank_Decline,1,0.39,Medium,517.0,23,0.0,1
TX00214,CUST0220,33785.1,Card,Success,Timeout,3,0.69,Low,69.9,27,0.0,1
TX00215,CUST0855,38192.09,NetBanking,Failed,Network_Error,3,0.98,Medium,70.1,24,38192.09,1
TX00216,CUST1249,2463.53,Wallet,Success,Timeout,2,0.99,Medium,333.5,22,0.0,1
TX00217,CUST0385,32400.7,UPI,Abandoned,Bank_Decline,0,0.71,Medium,394.6,10,32400.7,0
TX00218,CUST1427,11491.71,Wallet,Success,Insufficient_Funds,3,0.91,Medium,100.3,0,0.0,1
TX00219,CUST1154,33567.62,Wallet,Overdue,None,0,0.36,Medium,288.6,15,33567.62,0
TX00220,CUST1077,23522.84,NetBanking,Success,Authentication_Failed,3,0.4,High,65.7,3,0.0,1
TX00221,CUST0730,38722.93,UPI,Failed,Network_Error,0,0.96,Low,365.2,22,38722.93,0
TX00222,CUST1440,6345.36,UPI,Subscription_Failed,Authentication_Failed,1,0.31,High,514.5,5,6345.36,0
TX00223,CUST0247,31390.85,NetBanking,Success,Authentication_Failed,0,0.35,Low,445.2,10,0.0,1
TX00224,CUST0836,14067.84,Card,Success,Authentication_Failed,2,0.54,Low,233.2,29,0.0,1
TX00225,CUST1463,42678.5,UPI,Success,Authentication_Failed,3,0.67,Low,596.3,23,0.0,1
TX00226,CUST0203,46433.5,UPI,Failed,Bank_Decline,2,0.68,Medium,401.1,5,46433.5,0
TX00227,CUST1208,49820.64,NetBanking,Success,Authentication_Failed,3,0.43,Low,491.0,9,0.0,1
TX00228,CUST0123,39841.17,Card,Success,None,2,0.94,Medium,405.1,5,0.0,1
TX00229,CUST0401,37735.96,Card,Failed,Authentication_Failed,3,0.93,Medium,593.8,9,37735.96,0
TX00230,CUST0767,10931.94,Wallet,Success,Bank_Decline,0,0.51,Low,494.6,21,0.0,1
TX00231,CUST0294,16933.15,Wallet,Failed,Timeout,3,0.55,Medium,316.5,22,16933.15,0
TX00232,CUST0280,23390.99,NetBanking,Success,Bank_Decline,2,0.76,High,226.5,4,0.0,1
TX00233,CUST0884,38714.38,Card,Success,None,2,0.73,Medium,412.5,27,0.0,1
TX00234,CUST0198,45765.3,NetBanking,Failed,None,3,0.51,Low,358.2,26,45765.3,0
TX00235,CUST0982,9619.13,Wallet,Failed,Insufficient_Funds,3,0.53,High,381.3,8,9619.13,0
TX00236,CUST0752,46133.9,NetBanking,Success,Bank_Decline,1,0.48,Medium,212.4,6,0.0,1
TX00237,CUST0144,34842.11,NetBanking,Success,Timeout,1,0.39,Low,262.9,16,0.0,1
TX00238,CUST0609,30616.38,UPI,Success,Insufficient_Funds,0,0.57,Low,339.3,26,0.0,1
TX00239,CUST1225,10152.1,UPI,Success,Insufficient_Funds,0,0.75,Low,505.2,11,0.0,1
TX00240,CUST1148,2965.15,UPI,Success,Network_Error,0,0.79,High,460.1,27,0.0,1
TX00241,CUST0187,28509.55,Wallet,Success,Authentication_Failed,0,0.82,Low,80.0,29,0.0,1
TX00242,CUST1350,32645.48,NetBanking,Failed,Insufficient_Funds,0,0.5,Low,154.9,24,32645.48,0
TX00243,CUST0464,10696.92,UPI,Failed,Insufficient_Funds,3,0.81,High,25.7,10,10696.92,0
TX00244,CUST1373,27911.52,UPI,Success,None,1,0.21,Low,14.7,5,0.0,1
TX00245,CUST0660,42853.37,UPI,Success,Timeout,3,0.58,High,142.4,26,0.0,1
TX00246,CUST0764,41786.28,Wallet,Success,Insufficient_Funds,1,0.84,Low,481.6,23,0.0,1
TX00247,CUST0955,46382.29,Wallet,Success,Timeout,1,0.7,Medium,543.8,24,0.0,1
TX00248,CUST0403,18421.11,NetBanking,Subscription_Failed,Authentication_Failed,2,0.58,Low,241.1,10,18421.11,0
TX00249,CUST1370,16038.87,NetBanking,Failed,None,2,0.72,High,342.3,10,16038.87,0
TX00250,CUST0147,37521.42,NetBanking,Abandoned,Network_Error,1,0.93,Medium,426.6,13,37521.42,1
TX00251,CUST1172,21669.4,UPI,Subscription_Failed,Network_Error,3,0.65,High,572.2,15,21669.4,0
TX00252,CUST0864,4559.92,Card,Success,Authentication_Failed,1,0.84,Medium,548.6,1,0.0,1
TX00253,CUST0489,14283.5,Wallet,Success,Authentication_Failed,0,0.98,Low,43.7,1,0.0,1
TX00254,CUST0929,21045.4,UPI,Failed,None,3,0.76,Low,156.4,4,21045.4,0
TX00255,CUST0551,14767.32,UPI,Success,None,3,0.66,Low,39.0,13,0.0,1
TX00256,CUST0338,16743.84,NetBanking,Failed,Bank_Decline,1,0.23,Medium,373.8,20,16743.84,0
TX00257,CUST0872,14830.04,NetBanking,Abandoned,Insufficient_Funds,0,0.5,High,429.2,27,14830.04,0
TX00258,CUST0641,2266.66,UPI,Abandoned,Insufficient_Funds,1,0.65,Low,191.9,9,2266.66,0
TX00259,CUST0473,31927.32,Wallet,Success,Insufficient_Funds,0,0.84,Medium,513.8,9,0.0,1
TX00260,CUST0151,29945.16,Wallet,Success,Timeout,3,0.55,High,277.2,17,0.0,1
